	for_query	tweet	username	date	hashtags	likes	retweets	url	cluster
0	stop racism	@fecundmind @ABCWorldNews all of which are a result of the systematic racism of America. we stop it at the top, we stop almost all of it	chiatlsports	Tue Dec 15 02:02:59 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1338665830322724865	0
2	stop racism	@smh And stop being America's running dog. Stop racism within itself. Not preaching water but drinking wine.	PLNo19LFC	Fri Dec 11 11:37:12 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337360782686765056	1
1	stop racism	"white america should have done the following post-civil war:

1. stop being racist
2. stop tolerating racism"	resiakshahid	Sun Dec 13 17:13:36 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1338170216904237058	0
10	stop racism	@IGoTokMaMindNo1 @MKSpurs82 @SkySportsNews Stop begging racism this isn't America mate	darren98_99	Wed Dec 16 11:23:06 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1339169174204149760	1
3	stop racism	@RepBarbaraLee There is no racism in America. Stop spreading lies	emiroseli	Thu Dec 10 22:32:59 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337163430483144705	0
19	stop racism	"@NYR_igor_savior "". I'll wake you up when 12% of the population stop doing more than 50% of the crime in america."" 

That racism is yours, own it."	JanetPl43057653	Wed Dec 09 23:55:49 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1336821887775621120	1
4	stop racism	After a while you just stop being surprised by America’s blatant racism https://t.co/WnRCEaNnwn	austinbucco	Sun Dec 13 06:49:01 +0000 2020	['BLM']	2	2	https://twitter.com/twitter/statuses/1338013037685424130	0
23	stop racism	@ssshhhyouredead @TPUSA @charliekirk11 @VigorLynx @vir_geaux @uk_pelican @MrChasebooth @NW_StayDet America was founded on systemic racism and has never stopped it	sayetaryor	Thu Dec 17 16:50:22 +0000 2020	['BLM']	4	0	https://twitter.com/twitter/statuses/1339613920961675265	1
5	stop racism	Donald Trump failed to stop COVID-19 before it spun out of control. Americans have to change their behavior now to stop this virus, and we need to address systemic racism and chronic underinvestment in our communities for our country to truly recover. https://t.co/SbWS33kJaq	SenWarren	Sat Dec 12 15:47:59 +0000 2020	['BLM']	3113	428	https://twitter.com/twitter/statuses/1337786283024920579	0
28	stop racism	@AnthonyTilghman Stop the lies! Washington, DC is perhaps the most bigoted city in America. There is no systemic racism but clearly hatred and bigotry vs. Trump and the GOP!	ProphetDano	Sun Dec 13 03:23:30 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337961314317201409	1
0	Racism is everywhere	racism is happening everywhere not just in america	H4PPYDREAM	Fri Dec 11 14:25:58 +0000 2020	['BLM']	1	0	https://twitter.com/twitter/statuses/1337403256318926850	0
1	Racism is everywhere	@Seano34 @BuzzFeedNews I know racism is everywhere but in America it is down right scary and I am tired.	malleyne2009	Mon Dec 14 01:20:33 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1338292763171958793	1
2	Racism is everywhere	@mattyglesias Racism is everywhere in America so yeah he appealed to non whites who see themselves as white	madjockmcferson	Thu Dec 17 13:23:04 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1339561754259550208	0
3	Racism is everywhere	The racism of highway building and White flight to the suburbs after decades of redlining were destructive everywhere in America. https://t.co/TsDxKjRHDO	UrbanistOrg	Thu Dec 17 18:46:45 +0000 2020	['BLM']	15	3	https://twitter.com/twitter/statuses/1339643210457464833	1
4	Racism is everywhere	@Smurflexis @AngieLilu @caofpa Racism exists here just like everywhere else... but unlike America, you’re not likely to be shot for being black.	tilisa_t	Wed Dec 16 03:27:19 +0000 2020	['BLM']	16	0	https://twitter.com/twitter/statuses/1339049439160233984	0
19	Racism is everywhere	racism  is  everywhere  and  just  because  in  america  its  really  serious  doesnt  mean  its  only  here....	redskinni	Fri Dec 11 04:41:33 +0000 2020	['BLM']	16	0	https://twitter.com/twitter/statuses/1337256180217860096	1
5	Racism is everywhere	@DRE4MBRAINROT and then fans using the “he’s not from america!!” line.. racism and discrimination don’t just happen in america it happens everywhere every single day	MILICVRE	Wed Dec 09 07:01:54 +0000 2020	['BLM']	3	0	https://twitter.com/twitter/statuses/1336566724846501888	0
6	Racism is everywhere	@benb607 @LarryDeLuca @Jenfeds73 @LabyrinthWeaver @newtgingrich Every party was the racist party. Racism is cultural and institutional. Racism is socialized into everyone and exists everywhere in America.	MijimoGo	Sun Dec 13 22:11:03 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1338245074619129864	0
0	Blm president biden	@karavoght Fucking owned!  Biden openly said he wants to make America sade for a buttigieg to be president soon and BLM worked hard to make Biden president.	ALeftoid	Wed Dec 16 12:35:59 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1339187518395322377	1
1	Blm president biden	@ARmastrangelo @KamVTV IF JOE BIDEN TALK ABOUT GUN VIOLENCE HE JOE BIDEN SHOULD BE HOLD RESPONSIBLE FOR ARMING BLM KKK ANTFFA AS WELL AS LOOTERS AND RIOTS GROUP IN AMERICA THIS IS THE BEGINNING OF JOE BIDEN COLLAPSING AND THE END OF HIS FAKE PRESIDENT ELECT SORRY MISTER MAN	MondayA77825701	Wed Dec 16 18:59:41 +0000 2020	['BLM']	2	0	https://twitter.com/twitter/statuses/1339284079729061889	1
2	Blm president biden	Biden isn’t even president yet and BLM already controls 245 million acres or 1/10th of America’s land base.	AdamNeumannsCoS	Sun Dec 13 20:12:04 +0000 2020	['BLM']	9	0	https://twitter.com/twitter/statuses/1338215129792581635	1
3	Blm president biden	@realDonaldTrump Thankfully he left respectively and on his own accord, Peacefully! Adios Barr! There will never be a president as great as president Trump. &amp; No one is welcoming Biden or his so called speech. He's a complete embosal democratic discrace to America. CHINA loves Biden, BLM &amp; anarch	Kimberl33307516	Tue Dec 15 01:17:36 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1338654407186059265	1
4	Blm president biden	Biden will never be my president yall must forgot its still pathological compulsive liars in this world and Biden is one!! Kamala Harris is another one!!! 2 liars on the same team and America thought we was going somewhere with them? jews use BLM when they could have donated!!!🤦🏿‍♂️ https://t.co/iQbbq4LmY3	shizzymacbeatz	Fri Dec 11 12:58:27 +0000 2020	['BLM']	1	0	https://twitter.com/twitter/statuses/1337381232502595586	1
1	Racism in usa	@ufunnyafbribri Im tired of the colourism n racism in the latin community both from those in the USA and those in latino america	storm_3113	Tue Dec 15 10:41:47 +0000 2020	['BLM']	8	0	https://twitter.com/twitter/statuses/1338796388562460672	0
0	Racism in usa	"@GudNPlanty @Craig_A_Spencer Trump did a grand job at MAKING AMERICA GREAT AGAIN ROFL, only thing great about USA is it's status as a basket case
- guns everywhere
- racism 
- greatest out of control covid community spread globally

Biden will inherit a USA thats a long way beyond FUBARed. Hard orders WNTBM"	IAN69388881	Mon Dec 14 10:59:22 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1338438427025448962	1
2	Racism in usa	Cleveland Indians changed their name, now for the rest of the racism in corporate America - USA TODAY https://t.co/Sgy1IZQYcU	idlewildmike	Wed Dec 16 02:14:13 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1339031042355851274	0
7	Racism in usa	"@salem_alan @SkySportsNews In south america its ok to say ""negrito"", we dont have that history of racism that they had in USA or Europe, so here ""negrito"" its a kind expresion to say to a friend. 
Here we all have more than one friend nicknamed ""negro"" and we are fine with it."	GLeone15	Thu Dec 17 21:38:02 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1339686316745895936	1
3	Racism in usa	@f4irylovebot Racism is very much alive in Latin America hence that carries over to Latinos on the USA mixed with US traditional racism	Arnolds_Life	Wed Dec 16 22:51:10 +0000 2020	['BLM']	2	0	https://twitter.com/twitter/statuses/1339342333972783104	0
12	Racism in usa	America truly understands the reality of what racism is to an Island and its treatment. The USA took over PR in 1898, 2 years after giving 1896 self govern right after 400 years of struggle with Spain. To declare it a territory yet refuse to bring in English teacher and educator https://t.co/la92P7Wva1	OChenault	Mon Dec 14 22:07:10 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1338606484951732225	1
4	Racism in usa	@JulianaAdedeji @cnnbrk American racism is everywhere. What a shitty thing to say.  That’s our current state in the USA insult and be indifferent to peoples suffering. Make America Great Again.	GuzmanDetroit	Wed Dec 09 10:35:56 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1336620588018900992	0
20	Racism in usa	"DO ""YOU"" THINK ??????
THE UNITED STATES OF AMERICA ""CAUSED"" *( RACISM )*

NOW, *PLEASE* WAIT... 
I ""LOVE"" THE *( USA )*......:)

THE UNITED STATES OF AMERICA *( APPROVED )* OF *( SLAVERY )* FOR *( BLACK )* PEOPLE...
USA ""DIVIDED"" *US*... &amp; WE ARE ""PRICELESS"". https://t.co/FtXUSduuN8"	7forluckyApril	Thu Dec 10 14:40:47 +0000 2020	['BLM']	2	0	https://twitter.com/twitter/statuses/1337044596686278656	1
5	Racism in usa	"White supremacy and systemic racism defines twenty-first century North America. 

It is truly farcical and absurd therefore to suggest that the USA is the land of the free and a bastion of human rights. https://t.co/eoawHnuWYt"	Fio_edwards	Fri Dec 11 18:51:17 +0000 2020	['BLM']	10	6	https://twitter.com/twitter/statuses/1337470023485550596	0
0	I can’t breath	"Funny how the people who claim to be ""pro-life"" are complacent in the unjust murders of black men and women in America. And in the same breathe praise a white man who blatantly murders those who disagree with his political views. You can't have it both ways #BLM #pickaside"	florafossil	Fri Dec 11 03:22:30 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337236287053508621	0
1	I can’t breath	"Three words uttered by an oppressed, dying man still resonate across many aspects of America today. 
“I can’t breathe.” 
When will we be able to breathe without fear of being attacked for looking different, loving who we love, and disagreeing with racism and bigotry? It’s Enough!"	aglc2022	Fri Dec 11 03:49:08 +0000 2020	['BLM']	2	0	https://twitter.com/twitter/statuses/1337242991765975041	0
2	Rest in peace	rest in peace brandon bernard. you’re now in heaven so you can’t be hurt by the institutional racism of america and it’s so called “pro-life” hypocrites.	obxhardy	Fri Dec 11 03:15:40 +0000 2020	['BLM']	1	0	https://twitter.com/twitter/statuses/1337234568835960832	0
0	Rest in peace	@SonaDrawzStuff I thought that racism was over there in america.. Guess not, Rest In Peace hope Brandon flies high	KuwaruS	Fri Dec 11 02:57:11 +0000 2020	['BLM']	18	0	https://twitter.com/twitter/statuses/1337229917054910472	1
4	Rest in peace	Rest in Peace Brandon Bernard. a flawed system has failed someone once again. racism is the foundation of america; there is no justice in the justice system. https://t.co/LYUI77X6UZ	iidkwhosheis	Fri Dec 11 04:27:33 +0000 2020	['BLM']	1	0	https://twitter.com/twitter/statuses/1337252657027829760	0
1	Rest in peace	the criminal justice system is the most corrupt system in america. we used our platforms, we used our voices, and we did what we could. the rest was out of our hands. sadly we lost Brandon Bernard at 9:27 this evening, rest in peace #BlackLivesMatter	amayawalker_	Fri Dec 11 03:38:35 +0000 2020	['BLM']	2	0	https://twitter.com/twitter/statuses/1337240336125456384	1
5	Rest in peace	and it's even more upsetting because of the blatant racism in the justice system in america. may he rest in peace and i hope one day there will be real justice in america and in the world.	yukikoinnit	Fri Dec 11 12:16:10 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337370589401657344	0
3	Rest in peace	"Rest in peace Brandon Bernard🕊🕊
America and its people silenced your voice. They silenced your rights. This is not the end of it. #BlackLivesMatter #brandonbenard #AbolishTheDeathPenalty"	HtxTiam	Fri Dec 11 13:54:40 +0000 2020	['BLM']	6	0	https://twitter.com/twitter/statuses/1337395378543620096	1
6	Rest in peace	@KnuxSpud he is dead yes unfortunately due to the horrible criminal justice system and racism in america hopefully he rests in peace and this problem doesn’t come up again EVER , it’s not funny get a life my guy .	shizuxhu	Fri Dec 11 03:12:34 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337233788728987648	0
7	Rest in peace	@mumbo_jumbo88 @PAGOP You are surrounded by maga. You leave parts of Calif and NYC. And then big cities the rest of the country is maga. Without cheating trump won and he got probably close to half the popular vote. Biden is bringing zero peace to America BLM is already mad at him	JordanMAGA2020	Mon Dec 14 18:42:23 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1338554947177226246	1
8	Rest in peace	i can’t believe this this is one of the most heartbreaking stories i’ve heard. america is so fucking corrupt and i can’t believe there’s still people on this earth that claim racism isn’t real and or support trump fucking disgusting Rest in Peace Brandon 💗	cIitney	Fri Dec 11 02:56:38 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337229779603517440	0
8	Blm George Floyd	@nessryan11 @IGoodwyn @iamTongueNCheek @BILDERBERG_GP @Nigel_Farage No it started with black footballers in America to protest at the way black people are treated in America it was never used here until after George Floyd's death and BLM took it up as their mantra and it became a simble of BLM in this country.	marmundy	Wed Dec 09 06:58:13 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1336565801210552328	0
0	Blm George Floyd	"@GardeningAtNigh @LBC @TomSwarbrick1 Its not at all that.
Its in solidarity with BLM and the George Floyd death in america.
Not even a British issue"	kieran26272	Thu Dec 17 09:25:05 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1339501861431328769	1
14	Blm George Floyd	@ReehanG28 Not sure I do. MSM made clear that BLM was a response to George Floyd's death in America. But somehow fans are supposed to 'know' that players don't mean that BLM, they mean this BLM. Still prefer players to work with the Kick It Out campaign, but maybe that's just me.	lrcaswell	Sat Dec 12 12:38:51 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337738688500019202	0
1	Blm George Floyd	"Owner of Minneapolis salon burned down in George Floyd riots: 'We need police'

https://t.co/lnaArefa2S
Bank of America should divert some of the $1billion pledged to blm to help all those affected by the riots"	jeffrey_atkins1	Fri Dec 11 16:03:26 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337427785095262211	1
16	Blm George Floyd	A lot of y’all don’t care about activism and i learned that earlier this year with the whole situations that was going on across America a lot of y’all was sitting around waiting for y’all faves to speak on BLM &amp; George Floyd for your stan wars kinda #weird	bodakindigo	Fri Dec 11 03:51:42 +0000 2020	['BLM']	19	2	https://twitter.com/twitter/statuses/1337243638158528514	0
2	Blm George Floyd	@supportlaw @MSNBC @TIME They have been reporting on it. BLM started before George Floyd. Why is healthcare the number one issue in America? Bc saving your life is the top priority of anyone’s life. Seeing George Floyd due this way was eye opening, but not new. Dr Fauci is ACTIVELY saving lives.	DSingh4Biden	Thu Dec 10 15:34:35 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337058137141096449	1
18	Blm George Floyd	‘Er ... um ... BLM is actually a Black Power movement from America and George Floyd was a criminal like Horst Wessel ... not a good look after all ... can we do something else ... like maybe ... “Springtime For Hitler” in drag before each game? That would be such fun ...’ https://t.co/XZigYme608	DubarryMichael	Sun Dec 13 22:11:27 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1338245174242267138	0
3	Blm George Floyd	Minneapolis teen who recorded death of George Floyd honored with PEN America award for courage https://t.co/QDG4H7mPql  it takes no courage to be a BLM terrorist	SheryllSbeaty45	Thu Dec 10 10:25:15 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1336980290594611200	1
4	Blm George Floyd	What happened to the Billions in BLM err ACT BLue err DNC money you thieves squeezed-out of corporate America in your George Floyd shakedown of America?? https://t.co/2EMSUUDDl7	ChuckWoo5	Tue Dec 15 00:13:36 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1338638301780066304	1
0	Justice for George Floyd	@nomorefreebeer @gracesru Thanks for all you've done and all that you've continued to do. I think Covid-19 and George Floyd's murder opened a lot of America's eyes to racism, bigotry, criminal justice reform, and police brutality. Trump's behavior did as well along with the Summer protesters.	KeithGrant09	Tue Dec 15 05:30:00 +0000 2020	['BLM']	1	0	https://twitter.com/twitter/statuses/1338717926820634631	0
0	Justice system	systemic racism is very real &amp; america’s criminal justice system serves no typa justice 😋	lxnsa	Fri Dec 11 11:18:59 +0000 2020	['BLM']	7	0	https://twitter.com/twitter/statuses/1337356199985963008	0
28	Justice system	the criminal justice system is the most corrupt system in america. we used our platforms, we used our voices, and we did what we could. the rest was out of our hands. sadly we lost Brandon Bernard at 9:27 this evening, rest in peace #BlackLivesMatter	amayawalker_	Fri Dec 11 03:38:35 +0000 2020	['BLM']	2	0	https://twitter.com/twitter/statuses/1337240336125456384	1
1	Justice system	Rest in Peace Brandon Bernard. a flawed system has failed someone once again. racism is the foundation of america; there is no justice in the justice system. https://t.co/LYUI77X6UZ	iidkwhosheis	Fri Dec 11 04:27:33 +0000 2020	['BLM']	1	0	https://twitter.com/twitter/statuses/1337252657027829760	0
29	Justice system	What Kyle Rittenhouse's $2 million fundraiser reveals about the unequal system of justice in America https://t.co/PnVWQ4ACI0 via @MotherJones #wiunion #wiright #wipolitics	SpudLovr	Wed Dec 09 18:45:05 +0000 2020	['BLM']	1	1	https://twitter.com/twitter/statuses/1336743689608187907	1
2	Justice system	"@MezbhaK @PeteButtigieg With all do respect sir, this is not Saudi. We do not share the same ""eye for an eye"" ideology. We have a very broken justice system in America with a long history of racism and corruption. In short our justice system is not trustworthy to stake life on"	TheEdgeOfEmpire	Sat Dec 12 15:16:56 +0000 2020	['BLM']	1	0	https://twitter.com/twitter/statuses/1337778467492909067	0
45	Justice system	@Jennyxer2020 @elgrenchoviejo @jenvanlaar Critical Race Theory, Systemic Racism, and Social Justice have been areas of study for over 20 years in America's most prestigious law schools.	Morgan_Love23	Wed Dec 16 03:35:13 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1339051428275388417	1
