	for_query	tweet	username	date	hashtags	likes	retweets	url
0	stop racism	fuck trump, fuck racism, fuck america's justice system	aidiemonyo	Fri Dec 11 03:24:28 +0000 2020	['BLM']	3	2	https://twitter.com/twitter/statuses/1337236784846000130
1	stop racism	Fuck America. Fuck Racism.	__letswinwin__	Fri Dec 11 03:17:28 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337235022642696195
2	stop racism	and some people still think racism isn’t a problem in america	HAPPlLYLOU	Fri Dec 11 02:03:26 +0000 2020	['BLM']	2	0	https://twitter.com/twitter/statuses/1337216392416931842
3	stop racism	America was built on racism	SmdSzn	Fri Dec 11 05:51:20 +0000 2020	['BLM']	19	6	https://twitter.com/twitter/statuses/1337273742444158981
4	stop racism	I just love the racism in america	__Mangoes_	Sat Dec 12 01:18:31 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337567475475443712
5	stop racism	America really built off racism	mirartic	Wed Dec 16 00:30:02 +0000 2020	['BLM']	1	0	https://twitter.com/twitter/statuses/1339004826986934272
6	stop racism	America is built on racism.	tpwk_sunshinee	Fri Dec 11 01:45:19 +0000 2020	['BLM']	3	0	https://twitter.com/twitter/statuses/1337211832910508033
7	stop racism	stop acting like racism isn’t a problem in america.	ihugmgc	Fri Dec 11 02:04:49 +0000 2020	['BLM']	2	0	https://twitter.com/twitter/statuses/1337216739449442304
8	stop racism	America would be GREAT if this FUCKED UP SYSTEM is fixed &amp; RACISM never existed	playyboiid	Fri Dec 11 08:06:21 +0000 2020	['BLM']	9	4	https://twitter.com/twitter/statuses/1337307722996273153
9	stop racism	America runs on racism	HeadHighStripes	Fri Dec 11 12:58:56 +0000 2020	['BLM']	1	0	https://twitter.com/twitter/statuses/1337381354120622080
10	stop racism	do some people not realize not racism doesn’t just happen in America, it happens all over the world	IMS0RRYB0R1S	Wed Dec 09 03:47:06 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1336517705453723648
11	stop racism	Can a white person in america experience true racism	tristantimog	Sat Dec 12 01:55:19 +0000 2020	['BLM']	3	0	https://twitter.com/twitter/statuses/1337576737576792066
